Time,Value
2030-06-30,20.937121979472288
2030-07-31,18.44278350184865
2030-08-31,15.701979286287228
2030-09-30,13.538395841119913
2030-10-31,14.500869372395407
2030-11-30,17.114934408968857
2030-12-31,19.116003458547503
2031-01-31,20.7836355953889
2031-02-28,25.38626689195647
2031-03-31,27.02158861697352
2031-04-30,27.21048972561375
2031-05-31,26.894589293265742
2031-06-30,23.30375860374052
2031-07-31,20.81633840003208
2031-08-31,18.25892595213598
2031-09-30,18.514287462439945
2031-10-31,17.995987856912862
2031-11-30,19.91319574935735
2031-12-31,22.616431482844344
2032-01-31,26.48746173833412
2032-02-29,27.300782423904813
2032-03-31,29.328451511751798
2032-04-30,28.748431249795196
2032-05-31,27.95402534454882
2032-06-30,26.1206166534786
2032-07-31,25.676454083191725
2032-08-31,21.644744325502806
2032-09-30,20.988329401351805
2032-10-31,22.057063858184094
2032-11-30,22.034725478676
2032-12-31,25.601365932117073
2033-01-31,27.96617460065008
2033-02-28,31.36334019232954
2033-03-31,32.82453053775249
2033-04-30,32.63568815913342
2033-05-31,32.2362380436025
2033-06-30,28.62613893582989
2033-07-31,27.184672253305667
2033-08-31,25.275027368474987
2033-09-30,24.771797317628117
2033-10-31,24.6707209701297
2033-11-30,27.22411906181142
2033-12-31,28.44685205480133
2034-01-31,31.151503466055477
2034-02-28,33.3762699677493
2034-03-31,36.47759180003022
2034-04-30,34.65719232361496
2034-05-31,34.146369406510296
2034-06-30,33.130494002681445
2034-07-31,28.707528554161584
2034-08-31,27.719903706563287
2034-09-30,27.860836736127972
2034-10-31,27.441764052151534
2034-11-30,29.480957403885785
2034-12-31,32.08519001567839
2035-01-31,34.29797814331648
2035-02-28,38.012108924579664
2035-03-31,40.43817718587692
2035-04-30,39.854578033868684
2035-05-31,35.650085115525314
2035-06-30,34.9014271845262
2035-07-31,32.89498424961754
2035-08-31,33.356135848876434
2035-09-30,30.98134575836162
2035-10-31,31.497569299346512
2035-11-30,33.067873316656666
2035-12-31,35.40341315897199
2036-01-31,37.98578388157797
2036-02-29,41.02530053620845
2036-03-31,40.24756216158124
2036-04-30,42.47047904197694
2036-05-31,40.116014988061366
2036-06-30,38.203032476370474
2036-07-31,36.38493138760508
2036-08-31,35.07506043882971
2036-09-30,32.495118270214185
2036-10-31,33.48547669418163
2036-11-30,36.39503460350696
2036-12-31,37.84081435161045
2037-01-31,42.43121801185208
2037-02-28,42.70246345918669
2037-03-31,44.08231963115188
2037-04-30,44.54897145422564
2037-05-31,42.66480523550097
2037-06-30,40.3092579661871
2037-07-31,38.07333210745766
2037-08-31,35.20617863306432
2037-09-30,36.33256220537274
2037-10-31,37.50098627941403
2037-11-30,38.93339908409298
2037-12-31,39.75039856988618
2038-01-31,45.24003039389104
2038-02-28,46.42588721138882
2038-03-31,47.555128665892425
2038-04-30,47.369584107744174
2038-05-31,45.72637313811264
2038-06-30,45.966492037938906
2038-07-31,41.811480407960566
2038-08-31,39.525415232287614
2038-09-30,39.43391731146647
2038-10-31,40.328859328064084
2038-11-30,41.462841131528485
2038-12-31,45.315407099897534
2039-01-31,47.75484640791209
2039-02-28,49.405005824047706
2039-03-31,50.73911765576554
2039-04-30,50.09366606678378
2039-05-31,50.31068360267488
2039-06-30,47.27542709635952
2039-07-31,44.19552486201695
2039-08-31,42.58434085161746
2039-09-30,41.97130751922792
2039-10-31,43.47132305265325
2039-11-30,44.43401359332055
2039-12-31,46.641909321457476
2040-01-31,50.80116350427155
2040-02-29,54.408994103192136
2040-03-31,54.419109879626426
2040-04-30,53.69018674035634
2040-05-31,52.852140117696315
2040-06-30,50.01983540626466
2040-07-31,47.006714764332166
2040-08-31,45.0679322611313
